Order,Scientific name,Common name,IUCN,CITES status,Size,Habitat,CountGZ,% of samples GZ,Count HK,% of samples HK
Orectolobiformes,Chiloscyllium punctatum,Bamboo shark,NT,,Small,Coastal,0,0,22,0.29
Carcharhiniformes,"Rhizoprionodon porosus, Rhizoprionodon terraenovae",Caribbean/Atlantic sharpnose sharks,LC,,Small,Coastal,2,0.12,21,0.28
Carcharhiniformes,Carcharhinus dussumieri,Whitecheek shark,EN,,Small,Coastal,1,0.06,21,0.28
Carcharhiniformes,Carcharhinus limbatus,Blacktip shark,NT,,Large,Coastal,0,0,21,0.28
Carcharhiniformes,Rhizoprionodon spp.,Sharpnose sharks,,,Small,Coastal,9,0.53,20,0.26
Orectolobiformes,Chiloscyllium spp.,Bamboo sharks,,,Small,Coastal,0,0,20,0.26
Rhinopristiformes,Rhynchobatus laevis,Smoothnose wedgefish,CR,,Large,Coastal,0,0,17,0.22
Carcharhiniformes,Carcharhinus acronotus,Blacknose shark,NT,,Small,Coastal,2,0.12,16,0.21
Carcharhiniformes,Carcharhinus brachyurus,Bronze whaler shark,NT,,Large,Coastal,2,0.12,16,0.21
Carcharhiniformes,Mustelus henlei,Brown smooth-hound shark,LC,,Small,Coastal,1,0.06,16,0.21
Carcharhiniformes,Hemipristis elongata,Snaggletooth shark,VU,,Small,Coastal,5,0.29,14,0.18
Carcharhiniformes,Mustelus mosis,Arabian smooth-hound shark,DD,,Small,Coastal,0,0,13,0.17
Carcharhiniformes,Mustelus mustelus,Common smooth-hound shark,VU,,Small,Coastal,4,0.23,12,0.16
Squaliformes,Squalus acanthias,Spiny dogfish,VU,,Small,Coastal,2,0.12,12,0.16
Carcharhiniformes,Rhizoprionodon oligolinx,Grey sharpnose shark,LC,,Small,Coastal,0,0,11,0.14
Carcharhiniformes,Carcharhinus albimarginatus,Silvertip shark,VU,,Large,Coastal,6,0.35,10,0.13
Lamniformes,Lamna nasus,Porbeagle shark,VU,Appendix II,Large,Oceanic,4,0.23,9,0.12
Lamniformes,Alopias superciliosus,Bigeye thresher shark,VU,Appendix II,Large,Oceanic,9,0.53,7,0.09
Carcharhiniformes,Carcharhinus melanopterus,Blacktip reef shark,NT,,Small,Coastal,3,0.18,7,0.09
Chimaeriformes,Hydrogalus novaezealandiae,Dark ghostshark,LC,,Small,Deep-benthic,0,0,7,0.09
Carcharhiniformes,Rhizoprionodon longurio,Pacific sharpnose shark,DD,,Small,Coastal,0,0,7,0.09
Carcharhiniformes,Carcharhinus isodon,Finetooth shark,LC,,Small,Coastal,0,0,7,0.09
Chimaeriformes,Hydrogalus spp.,Other chimeras,,,Small,Deep-benthic,0,0,7,0.09
Orectolobiformes,Chiloscyllium plagiosum,Whitespotted bamboo shark,NT,,Small,Coastal,0,0,6,0.08
Carcharhiniformes,Carcharhinus macloti,Hardnose shark,NT,,Small,Coastal,0,0,6,0.08
Carcharhiniformes,Carcharhinus amblyrhynchoides,Graceful shark,NT,,Large,Coastal,0,0,6,0.08
Squaliformes,Squalus spp.,Dogfishes,,,Small,Coastal,4,0.23,5,0.07
Carcharhiniformes,Negaprion brevirostris,Lemon shark,NT,,Large,Coastal,2,0.12,5,0.07
Squaliformes,Centroscymnus coelolepis,Portuguese dogfish,NT,,Small,Deep-benthic,0,0,5,0.07
Carcharhiniformes,Lamiopsis temminckii,Broadfin shark,EN,,Small,Coastal,0,0,5,0.07
Carcharhiniformes,Carcharhinus porosus,Smalltail shark,DD,,Small,Coastal,1,0.06,4,0.05
Carcharhiniformes,Glyphis spp.,River sharks,EN,,Large,Riverine/coastal,0,0,4,0.05
Squaliformes,Deania profundorum,Arrowhead dogfish,LC,,Small,Deep-benthic,0,0,4,0.05
Lamniformes,Isurus paucus,Longfin mako shark,EN,,Large,Oceanic,0,0,4,0.05
Carcharhiniformes,Scoliodon laticaudus,Spadenose shark,NT,,Small,Coastal,0,0,4,0.05
Carcharhiniformes,Hemigaleus australiensis,Australian weasel shark,LC,,Small,Coastal,4,0.23,3,0.04
Lamniformes,Lamna spp.,,,,Large,Oceanic,0,0,3,0.04
Rhinopristiformes,Rhynchobatus djiddensis,Giant guitarfish,CR,,Large,Coastal,0,0,3,0.04
Carcharhiniformes,Mustelus lunulatus,Sicklefin smooth-hound shark,LC,,Small,Coastal,0,0,3,0.04
Carcharhiniformes,Loxodon spp.,,,,Small,Coastal,0,0,3,0.04
Carcharhiniformes,Sphyrna tiburo,Bonnethead shark,LC,,Small,Coastal,0,0,3,0.04
Carcharhiniformes,"Carcharhinus brevipinna, Carcharhinus brachyurus",Spinner/Bronze whaler shark,,,Large,Coastal,0,0,3,0.04
Carcharhiniformes,Sphyrna spp.,Hammerhead sharks,,,,,0,0,3,0.04
Carcharhiniformes,Loxodon macrorhinus,Sliteye shark,LC,,Small,Coastal,1,0.06,2,0.03
Squaliformes,Centrophorus isodon,Blackfin gulper shark,DD,,Small,Deep-benthic,0,0,2,0.03
Lamniformes,Alopias vulpinus,Common thresher shark,VU,Appendix II,Large,Oceanic,0,0,2,0.03
Carcharhiniformes,Mustelus californicus,Grey smooth-hound shark,LC,,Small,Coastal,0,0,2,0.03
Carcharhiniformes,Sphyrna tudes,Smalleye hammerhead shark,VU,,Small,Coastal,0,0,2,0.03
Carcharhiniformes,Triaenodon obesus,Whitetip reef shark,NT,,Small,Coastal,2,0.12,1,0.01
Carcharhiniformes,Eusphyra blochii,Winghead shark,EN,,Large,Coastal,1,0.06,1,0.01
Rhinopristiformes,Glaucostegus spp.,Giant guitarfishes,EN,,Large,Coastal,0,0,1,0.01
Rhinopristiformes,Pristis spp.,Sawfishes,CR,,Large,Coastal,0,0,1,0.01
Carcharhiniformes,Hemigaleus microstoma,Sicklefin weasel shark,VU,,Small,Coastal,0,0,1,0.01
Chimaeriformes,Callorhinchus callorynchus,Elephantfish,LC,,Small,Coastal,0,0,1,0.01
Lamniformes,Carcharias taurus,Sandtiger shark,VU,,Large,Coastal,0,0,1,0.01
Hexanchiformes,Hexanchus griseus,Bluntnose sixgill shark,NT,,Large,Coastal,0,0,1,0.01
Squatiniformes,Squatina californica,Pacific angel shark,NT,,Small,Coastal,0,0,1,0.01
Orectolobiformes,Stegostoma fasciatum,Zebra shark,NT,,Large,Coastal,0,0,1,0.01
Squaliformes,Squalidae,,,,,,0,0,1,0.01
Rhinopristiformes,Glaucostegus cemiculus,Blackchin guitarfish,EN,,Large,Coastal,0,0,1,0.01
Rhinopristiformes,Rhyna ancylostoma,Bowmouth guitarfish,EN,,Large,Coastal,0,0,1,0.01
Squaliformes,Deania spp.,Deepwater dogfish sharks,,,,,0,0,1,0.01
Carcharhiniformes,Scoliodon spp.,,,,Small,Coastal,15,0.88,0,0
Carcharhiniformes,Carcharhinidae,,,,,,3,0.18,0,0
Carcharhiniformes,Scoliodon macrorhynchos,Pacific spadenose shark,,,Small,Coastal,2,0.12,0,0
Carcharhiniformes,Lamiopsis spp.,Broadfin sharks,EN,,Small,Coastal,1,0.06,0,0
